GRANDE PHARMACIE DE TANDA,,,,,
"DR TCHUERE ALEXIS
TANDA
1401091,PLASMOCUR 80/640 MG CP B/6,3,2,"3,360",
8141378,PLUFENTRINE 20/120MG CP DISP B/6,94,22,870,
8141384,PLUFENTRINE 40/240MG CP DISP B/6,182,7,"1,470",
8454278,PLUFENTRINE 60/360MG CP B/6,61,37,"2,000",
8141390,PLUFENTRINE 80/480MG CP B/6,256,139,"2,030",
1312491,QUINEX 300MG CPR PELL B/18,1,0,"3,030",
3436488,QUINIMAX 125MG COMP B/18           ,14,0,"4,090",
3413501,QUINIMAX 500MG COMP B/9            ,10,3,"6,080",
1556051,RIDMAL  DT 20/160MG CP B/3,7,0,"2,070",
1190681,RIDMAL  DT 40/320MG CP B/3,1,7,"2,340",
1306271,RIDMAL 120/960MG CP B/3,28,19,"2,890",
1306241,RIDMAL 60MG/480MG CPR B/3,3,7,"2,760",
1306251,RIDMAL 80/640 MG B/3,5,5,"2,760",
1306261,RIDMAL 80/640MG CP B/6,27,11,"3,310",
8147056,R-LUME 80MG INJ B/6,2,1,"3,040",
8110337,R-LUME 80MG/480MG CP B/6,1,3,"2,755",
2297085,SP LIC CPR SEC 525MG BT3           ,69,9,500,
1312271,SUNAVEINE 120MG IV PDR INJ B/1,50,6,"2,480",
1312261,SUNAVEINE 60MG IV PDR INJ B/1,119,10,"1,445",
3492877,SURQUINA 250MG CPR SECAB B/18      ,100,0,"2,920",
8151336,SYNRIAM 150MG/750MG CP B/3,10,2,"3,040",
1404471,TERCO 420 CP B/6,2,0,"2,160",
1404461,TERCO 560 CP B/6,2,1,"2,620",
1548461,TERCO ENF PRDE SUSP FL/30,1,1,"1,995",
1548471,TERCO NOUR PDR SUSP FL/30ML,3,2,"1,210",
8117598,TONLUM 80/480MG CP B/6,2,0,"2,620",
8160944,TONTHER 80MG S.INJ B/6,106,15,"2,480",
,,Nombre d'articles :,147,,
Code Géo :,APHRODISIAQUES,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
8413693,BOOM 100MG CP B/10,5,1,"3,310",
1645641,DELONG VIRILOX ,3,0,"2,450",
2281641,ERECTOR 50MG B/1,1,1,"1,930",
120031,LIVEN COFFEE SS B/20,9,0,"8,500",
8124374,MAXIDUS GEL B/10,1,0,"25,000",
8124374D,MAXIDUS GEL B/10 (DETAIL),19,0,"2,500",
8021007,PROCOMIL 5MG DRAG BT/30 CP         ,2,0,"6,090",
2001630,PROCOMIL SPRAY F/15G               ,1,2,"7,250",
2273647,SOUTRA CPR B/50                    ,2,1,"9,630",
8508933,TADAL 20MG CP B/3,1,5,"1,460",
1226821,TANGO 100MG CP PELL B/2,20,0,"1,000",
8394754,TRE-BON CP 100MG B/10              ,36,4,"3,910",
7659570,VIRIMAX GEL B/15                   ,2,1,"3,230",
8664739D,VITAMAX CAFE BTE/10  (DETAIL) JAUNE,27,0,"1,500",
1591162,VITAMAX DBLE SHOT NOIR COFFE B/10,2,0,"15,000",
1352481,WELFIL 10MG CPR PELL B/4,1,0,"3,100",
,,Nombre d'articles :,16,,
Code Géo :,BEBE FARINES ET POTS,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
6189174,BLE CAROTTES 130G,3,0,"1,170",
2270838,BLE POMME BANANE 130G,1,0,"1,000",
8196971,BLE POMME PECHE 130G,3,0,"1,320",
2270844,BLE POMME POIRE 130G,1,0,"1,320",
6029619,BLE POMME PR 130G,2,0,"1,310",
1211131,BLE POMMES MANGUES 130G,3,0,"1,570",
8207120,BLEDINA POMME BANANE 130G          ,2,0,"1,000",
51072,BLEDINA PRINTANIERE DE LEGUMES 130G,1,0,830,
6151651,BLEDINE BISCUIT LAIT B/250G,16,8,"2,005",
8206712,BLEDINE FRUITS ET LAIT B/250G,20,3,"1,605",
2252912,BLEDINE LACTEE BANANE  B/250G,12,2,"1,990",
0267381,BLEDINE LACTEE CROISSANCE 250G     ,23,8,"1,960",
6052222,BLEDINE LAIT MIEL B/250G,14,1,"1,990",
1563231,CERELAC 3 FRUITS B/250G,5,0,"1,910",
2294945,CERELAC 3 FRUITS FARINE BT/400G   ,3,3,"3,210",
2284510,CERELAC BLE B/400G                 ,14,8,"2,520",
1331081,CERELAC BLE BISCUITY B/400G,4,0,"3,130",
1577431,CERELAC BLE MIEL B/250G,10,0,"1,375",
8211825,CERELAC LACTEE BLE SACHET 50G,36,12,325,
994648762,CERELAC MAIS SACHETS B/50G,13,0,310,
2293466,CERELAC MIEL ET LAIT SACHET P/ 250G            ,41,11,"1,375",
2261940,CERELAC RIZ FARINE BT/400G         ,7,0,"3,230",
836002,FARINOR BLE SOJA LAIT 250G         ,2,0,"1,060",
8210151,FARINOR MAIS SOJA 250G             ,1,0,"1,000",
2269108,FARINOR RIZ SOJA LAIT B/250G       ,2,0,"1,026",
8103231,FRANCE LAIT CERE  BLE BISCUIT,23,0,"2,080",
8103248,FRANCE LAIT CERE BLE FRUI 250G,4,4,"1,825",
8103254,FRANCE LAIT CERE BLE MIEL 250G,9,0,"1,825",
8137224,FRANCE LAIT DIASTASEE P/250G,39,5,"1,825",
8162191,NINOLAC BLE LAIT 200G              ,5,0,"1,660",
8162239,NINOLAC BLE LAIT DATTES 200G       ,8,0,"1,780",
8162216,NINOLAC BLE LAIT MIEL B/200G,5,0,"1,680",
8162222,NINOLAC LAIT BLE 5 FRUIT 200G             ,5,0,"1,680",
8162245,NINOLAC RIZ LAIT B/200G            ,5,0,"1,680",
1476701,NUTRIFORT BLE SOJA B/250G          ,3,0,530,
1802661,PHOSPHATINE LACT BISCUIT 250G      ,62,12,"1,270",
8114677,PHOSPHATINE LACT/BLE 250G,49,0,"1,280",
0925611,PHOSPHATINE LACTEE FRUIT 250G      ,37,21,"1,355",
8114708,PHOSPHATINE MIEL 250G              ,61,10,"1,230",
8114714,PHOSPHATINE MULTICEREALES B/200G,47,8,"1,230",
8114654,PHOSPHATINE RIZ MAIS 200G,28,0,"1,280",
,,Nombre d'articles :,41,,
Code Géo :,BEBE LAITS,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
2267724,BLEDILAIT CROISSANCE 400G          ,9,3,"3,690",
2285544,BLEDILAIT CROISSANCE 900G          ,7,0,"7,120",
1237851,CELIA DEVELOP 1 B/400G,3,9,"4,090",
8302261,FRANCE LAIT 1 1ER AGE PDRE B/400G,20,0,"4,320",
2259908,FRANCE LAIT 2EME AGE 400G B/1,12,10,"4,320",
2266742,FRANCE LAIT 3EME B/400G      ,2,9,"4,320",
8190023,GUIGOZ 1 VERT BTE 400G             ,41,2,"3,585",
994494255,GUIGOZ 1ER AGE SAC 120G,1,0,965,
8190046,GUIGOZ 2 ROUGE BTE 400G            ,23,14,"3,560",
2264795,NAN 1 AGE LAIT B/400G                 ,47,7,"4,880",
8300262,NAN 2 AGE LAIT B/400G,29,12,"4,910",
1736511,NAN 3 AGE LAIT CROIS B/400G     ,9,11,"4,395",
1294181,NAN COMFORT 1 LAIT PDRE B/400G,14,6,"5,080",
1294191,NAN COMFORT 2 LAIT PDRE B/400G,4,13,"5,110",
1232881,NIDO 1+900G,15,6,"6,810",
1232871,NIDO 1+LAIT CROISS B/400G          ,40,7,"3,255",
2274894,NURSIE 1 BOITE FER 400G,34,12,"4,140",
2254957,NURSIE 1 BOITE FER 900G,10,3,"8,210",
2298618,NURSIE 2 BOITE FER 900G,1,2,"8,210",
2274730,NURSIE 2 LAIT B/400G               ,16,9,"4,165",
8106206,NURSIE CONFORT 1 B/400G            ,5,9,"4,865",
8106212,NURSIE CONFORT 2 B/400G            ,12,11,"4,830",
8147754,NURSIE EXPERTISE 1 B/400G,9,3,"5,560",
8147760,NURSIE EXPERTISE 2 B/400G,3,7,"5,595",
1620431,PHYSIOLAC 1ER AGE 400G,2,12,"4,660",
1620441,PHYSIOLAC 2EM AGE 400G,44,4,"4,660",
1585161,PICOT NUTRI QUOTI 1ER AGE 400G     ,12,9,"4,405",
9743530,PICOT NUTRI QUOTI CROIS 400G,1,0,"3,240",
2262603,PRE NAN LAIT BT/400G               ,20,0,"5,700",
2262626,PRE NURSIE LAIT BT/400G            ,11,3,"4,740",
8146861,PRIMALAC PREMIUM 1 LAIT B/400G,7,5,"5,520",
8146878,PRIMALAC PREMIUM 2 LAIT B/400G,1,0,"5,470",
8146884,PRIMALAC PREMIUM 3 LAIT B/400G,21,9,"5,470",
,,Nombre d'articles :,33,,
Code Géo :,BIEN-ETRE AD,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
6550026,CANDEREL B/300                     ,2,2,"7,200",
6549997,CANDEREL COMP SOD.B/100            ,6,1,"3,020",
8103320,CELLIFLORE VENTRE PLAT SACH/20,3,0,"2,690",
8189942,GLUCOMETRE ACCU CHEK ACTIVE BANDELET B/50,7,2,"12,490",
3006428,GLUCOMETRE ACCU CHEK ACTIVE KIT MG/DL,5,1,"14,570",
8101829,GLUCOMETRE ACCU CHEK LANCETTE B/25,13,2,"1,800",
2474366,GLUCOMETRE ON CALL EXTRA BANDELETTE B/25,1,0,"6,610",
1444051,GLUCOMETRE ON CALL PLUS BANDELETTE B/50,2,1,"10,530",
8105170,NUTRASEL B/250G,20,1,"2,360",
8105164,NUTRASUCRE B/475G,16,2,"2,270",
1293501,NUTRASUCRE B/750G,15,2,"3,400",
8105158,NUTRASUCRE B/950G,7,2,"4,340",
2476931,PRECIX GLUCO BANDELET BT25,1,0,"7,350",
6148092,SEL D B/300G                       ,11,2,"3,600",
1344991,TENSIOMETRE TENSIOTOP BRASSARD,6,0,"21,340",
8127007,THE CATHERINE SCHT B/16,12,2,"3,780",
120017,THE LIVEN COFFEE CAPPUCCINO,5,0,"8,000",
120017D,THE LIVEN COFFEE CAPPUCCINO  (DETAIL),6,0,500,
,,Nombre d'articles :,18,,
Code Géo :,BIEN-ETRE BEBE,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
2270465,BABY GALIPETE LAIT TL  F/500ML,7,1,"2,490",
2270459,BABY GALIPETTE CR LAV.500ML,6,2,"2,565",
3000000954812,BEBE SUISSE LAIT F/200ML,1,0,580,
8594269,BEBE SUISSE LAIT F/400ML,3,0,845,
8594186,BEBE SUISSE TALC POT/500G,1,0,925,
8172516,BIB REM PL CPLT 270 CAR 119002,8,0,"4,260",
8172491,BIB REM PLAST CIEL F/270ML,1,1,"4,845",
6605135,BIB REMD VERRE CAOUT CIEL F/240ML,3,0,"4,420",
6522142,BIB REMD VERRE REGUL ROSE F/240ML,6,0,"5,120",
8180243,BIOLANE GEL CORPS CHEVEUX 2EN1 F/750ML ,3,0,"6,990",
1671931,BIOLANE LAIT CORPS HYDRAT 350ML,3,2,"6,740",
7628871,BIOLANE SAV DOUX SURGRAS /150G,2,1,"3,990",
1292981,CHATEAU ROUGE BB GEL 2EN1 F/500ML,4,1,"10,790",
9950401,CHATEAU ROUGE BB LT HYD 500ML,2,0,"9,670",
1294531,CHATEAU ROUGE BB SAV SURGRAS 120G,5,0,"3,660",
2270991,COTON TIGE LOTUS BT/190            ,4,2,"1,525",
1299391,EDC VIE FRAICHE AMBREE 250ML,1,0,"1,440",
1299411,EDC VIE FRAICHE LAVANDE 250ML,2,0,"1,440",
6359618,GOUPILLON REMD BIB+TET/2  174000       ,1,0,"4,460",
8123593,JOHNSON BABY LAIT ROSE CLASSIC 444ML,1,0,"6,800",
6043780,KL BB GEL LAV DX 500ML,2,0,"9,900",
1348431,KL BB LT HYD 750ML    ,4,0,"10,785",
1337401,KL BB SAVON SURGRAS 250G      ,3,0,"4,800",
1364351,LINGETTE  JOYA F COTON /72,9,2,910,
1364361,LINGETTE JOYA A DOUCE/72,9,2,910,
1364341,LINGETTE JOYA CAMOMILL /72,8,4,910,
1299671,LOTION A.MOUSTIQ MOUSTIGUARD,46,4,880,
6607370,MILTON CP EFF B/28                 ,6,1,"3,030",
8185364,MIXA BB BAIN DCH 200ML,1,0,"3,665",
1786661,MIXA BB LAIT TOILETTE F/250ML            ,1,0,"2,750",
2482938,MY BABY EAU DE COLOGNE 365ML,3,3,"1,590",
2482939,MY BABY EAU DE COLOGNE 755ML,1,1,"2,630",
2482940,MY BABY GEL LAVANT DOUX 365ML,3,2,"1,080",
2482941,MY BABY GEL LAVANT DOUX 755ML,5,1,"1,750",
2482937,MY BABY HUILE DE MASSAGE 110ML,2,2,860,
2482942,MY BABY LAIT DE TOILETTE 365ML,3,2,"1,095",
2482943,MY BABY LAIT DE TOILETTE 755ML,3,2,"1,695",
2482946,MY BABY PMMADE NRRISSANTE 200ML,3,0,"1,000",
2482944,MY BABY TALC DE TOILETTE 250G ,1,0,705,
2482945,MY BABY TALC DE TOILETTE 500G,1,2,"1,040",
6425114,REMD PROTEGE CIEL ISOT,1,0,"8,739",
8134059,SUCET DOD PHYS ORTHO 0-6M/1,1,0,"2,370",
7950621,TETINE REM CA EXCEN 140000,1,0,"1,640",
7952399,TETINE REM SUPER CA 141000,3,1,"1,840",
,,Nombre d'articles :,44,,
Code Géo :,COLLYRES,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
8113548,ARTELAC COLL F/10ML,2,2,"3,540",
1666591,ARTILARMES 0.5% CY F/10ML,1,2,"3,030",
2264223,AUREOMYCINE VALDA 1 PDE OPHT       ,12,0,420,
8302574,BACTIGEN COLL F/5ML                ,1,0,"1,010",
8152436,BRIMOCHEK T CY F/5ML,1,1,"10,495",
3578892,CARTEOL 1% LP CY F/3ML             ,1,3,"7,400",
3578952,CARTEOL 2% LP COLLYRE FL/3ML       ,9,2,"7,400",
3130594,CATACOL POS CY FL/10ML             ,16,2,"1,200",
1312291,CEPROLEN 0.3 COLLY F/5ML,3,2,"1,790",
3021741,CHIBRO CADRON COLLYRE FL 5ML       ,16,2,"2,040",
3313225,CHIBROXINE CY FL/5 ML              ,1,2,"3,140",
3592277,CILOXAN POM OHPTA T/35G,1,0,"4,160",
2291579,"CIPRO 0,3% COLLYRE F/5ML",2,2,"2,880",
3013285,COLLYRE LAITER BLEU FL/10ML        ,7,2,"1,955",
8113956,CORNEREGEL GEL OPHT T/10G,2,3,"3,115",
3194631,CORRECTOL CY FL/10ML               ,59,0,"1,100",
1666621,CRISTABION CY F/5ML,2,2,"1,240",
2266044,CROMSOL 2% COLL F/5ML              ,8,4,"1,100",
3029955,DESOMEDINE COLLY FL/10ML           ,2,2,"1,890",
2299865,DIFENASOL COLL F/5ML               ,7,1,"1,150",
8117492,EDOLFENE 0.3MG/ML COLLYRE F/5ML,3,2,"3,520",
2266475,"FLOXSOL 0,3% CY F/5ML              ",8,1,"1,150",
3242028,FLUCON COLLYRE                     ,1,0,"1,810",
3473495,FRAKIDEX CY FL/5ML                 ,33,3,"2,330",
3264521,FRAKIDEX POM OPHT T/5G             ,8,0,"1,640",
3319133,FUCITHALMIC 1% GEL OPHT 3 GRS      ,5,0,"2,825",
7068291,GELTIM LP 0.1% COLLYRE UNIDOSES B/30,1,1,"8,665",
8113867,GENTA 0.3% GTTE FL/5ML,116,24,"1,410",
8106330,GENTAMED 0.3 COLLY F/5ML,4,0,"1,340",
8412535,GENTAMICINE TM OLLYRE F/5ML,10,5,720,
2257507,"GENTASOL 0,3% CY F/5ML             ",13,0,"1,200",
1390651,GENTYL 0.3% CY F/5ML,11,0,"1,000",
8197060,HYFRESH 0.2% CY F/10ML,2,2,"4,630",
3419538,"INDOCOLLYRE 0,1% CY FL/5ML         ",13,4,"3,360",
3366664,LACRINORM GEL OPHT T/10G           ,3,0,"3,180",
3473986,"LEVOPHTA 0,5% CY FL 5 ML           ",4,0,"5,165",
1330641,LOXTRA OPH SUSP FL/5ML,2,1,"3,705",
3065247,MAXIDEX CY FL/3ML                  ,1,0,"1,375",
3065253,MAXIDROL CY FL/3ML                 ,63,8,"1,890",
3198356,MAXIDROL POMMADE OPHT              ,14,0,"1,410",
3069498,MYDRIATICUM CY FL/10ML             ,1,1,"2,010",
3356341,"NAABAK 4,9% COLLYRE F/5ML          ",4,5,"3,500",
3267028,NAAXIA CY FL/5ML                   ,17,0,"3,360",
2292774,NEOMDEXSOL COLL F/5ML              ,13,3,"1,150",
8152979,NEUGEN GTTE YEUX OREIL 0.3/0.25 5ML,3,1,895,
3598972,OPATANOL 1MG CY F/5ML              ,4,1,"5,100",
8111644,OPTICIN 0.3 PR CNT COLL F/5ML,1,1,"2,480",
3202980,OPTICRON CY FL/5ML                 ,4,1,"3,460",
8116570,OPTIFLOX COLL F/5ML,10,3,"2,480",
8128449,OPTIFRESH CY F/10ML,10,2,"2,480",
8116593,OPTIPRED 1% COLL F/5ML,1,2,"2,340",
2253596,"OPTOVISC 0,3% COLL F/10 ML         ",1,1,"1,170",
1338661,PATADIN 0.1 CY FL/5ML,4,2,"3,720",
8124871,POLYFRESH CY F/10ML,2,3,"3,600",
9001685,RETIFEN CY 5MG/5ML,1,0,"1,720",
3091523,RIFAMYCINE 1% CY FL/10ML           ,4,0,"2,590",
8114915,SOFTDROPS CY 10ML,3,2,"2,480",
3138414,STERDEX POM OPHT CAPS B/12         ,5,2,"1,970",
8152732,TAMIGEN COLLYRE GTTES AURICULAIRES,51,2,"1,130",
2275066,"TIMOSOL 0,5% COLL F/5ML            ",11,3,"1,120",
3442997,TOBRADEX COLLYRE FL/5ML            ,17,1,"3,360",
2038946,"TOBRADEX POM OPHT 3,5G",1,1,"3,350",
3280543,TOBREX CY FL/5 ML                  ,7,0,"2,100",
2252326,VISIODIS COLL F/10ML               ,4,0,"1,105",
3227980,VITABACT CY FL/10ML                ,3,3,"5,095",
8116618,XOLAMOL COLL F/5ML,2,0,"10,410",
,,Nombre d'articles :,66,,
Code Géo :,COSMETIQUES,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
8170569,ACNET LAIT MEDICAL 250ML,2,2,"3,850",
8155759,ACNET SAVON MEDICAL 250GR,2,5,"1,120",
8139252,AMARYS CROIS CHEV PDE CAPIL100,5,0,"2,810",
7798099,AMARYS LAIT CORPS AMANDE F/400ML      ,3,1,"5,225",
7798113,AMARYS LAIT JOJO AVOCAT 400ML      ,1,1,"5,420",
7798107,AMARYS LAIT SOJA PURIF 400ML       ,3,2,"5,920",
8124322,AMARYS PDE ANTICHUT CHVX 100ML,2,0,"2,765",
8171793,AVIATOR BLACK EDT 100ML,2,1,"9,760",
8172746,AVIATOR DEO SPRAY BLACK 200ML,9,1,"2,080",
1582791,BELLE PO CREME DE VISAGE,1,1,"3,020",
1334271,BIO OIL HLE SOIN BEAUTE 125ML,1,0,"10,600",
1391991,C PLUS GANT CORP HAMMAM NOIR,2,0,"1,890",
2270241,CHANTAL ROJANE ALTESSE             ,5,0,"2,700",
2295956,CHANTAL ROJANE EDT H BOSS,1,0,"2,200",
2295933,CHANTAL ROJANE EDT H MASCULIN ,1,0,"2,170",
8652110,CHARLES TOBACO EDT VAPO/100ML,7,0,"1,320",
1204961,CICAPLAST BAUM B5 SPF50 T/40ML,1,0,"11,320",
1442581,CLARABEL LAIT APAIS 400ML,1,1,"2,270",
1442611,CLARABEL LAIT FRAICHEUR 250ML,3,1,"1,500",
2475349,CLARABEL LAIT REVITAL 400ML,1,0,"2,665",
1579891,CLARABEL LAIT SOIN VERG 250ML,1,2,"1,410",
1442601,CLARABEL LT NUTRI 400ML,2,2,"2,660",
2289915,CLARIAN CLARTE LAIT ECL 250ML      ,3,2,"4,465",
2285219,CLARIAN LOTION PURIFIANT F/100ML   ,4,2,"3,135",
2289921,CLARIAN PRESTIGE LAIT              ,2,1,"4,220",
8173792,CLARIAN SAV GOMMANT 150G,1,2,"1,980",
2296358,CLARIAN SERUM SALIC 2% 100ML       ,1,1,"3,610",
6559659,COTON DEMAQ CARRE STERILUX S/45,1,0,"1,020",
7174140,COTON DEMAQ DISQ STERILUX S/70,9,0,790,
6652583,COTON HYDRO STERILUX SOIN 100G,5,0,"1,050",
4046871,COTON STERILUX 100G,3,0,"1,118",
8583403,COUCHE AD MED 40-70KG PQ10,3,0,"5,035",
1364251,COUCHE AD SMILEY MED B/12,2,2,"4,140",
8155771,COUP D'ECLAT SAVON GOM 250GR,1,1,"1,250",
8373545,DAGGER HOM EDP 100ML,2,1,"3,130",
8192140,DEO NUPTIA 200ML,2,0,"2,000",
1736751,DEXERYL CREME T/250G               ,9,3,"3,790",
8316205,DOP SHAM OEUF 100ML,3,4,520,
2272553,DOP SHAMP ANTIPEL F/400ML,2,0,"3,110",
8140700,DOP SHP 2/1 ARGAN 400ML,1,0,"3,110",
1225551,EBENE DEO H ENERGIE ACTIV 200ML,6,0,"1,910",
8556777,EBENE GEL DCH BAOBAB ARGAN 250 ML,8,0,"1,420",
1225181,EBENE GEL DCH BISSAP GR 250ML,1,0,"1,290",
1225211,EBENE GEL DCH MORINGA 250 ML,2,0,"1,290",
1225201,EBENE GL DCH COCO VANI 250 ML ,1,0,"1,100",
2271298,EBENE KIT COLOR NOIR FEMME         ,1,2,"3,130",
2274003,EBENE KIT COLOR NOIR HOMME         ,9,2,"3,440",
2288258,ECLADERMA CLAS LAIT ECLAIR 250ML   ,4,2,"3,470",
2289737,ECLADERMA CLASSIC HUIL GLYCER 125ML,1,1,"3,470",
8123854,ECLADERMA CLASSIC SAV ANTISEPT 225G,10,4,"1,140",
8158114,ECLAT LIGHT CR VIS POT 50G,5,1,"4,000",
8151951,ECLAT LIGHT GEL DCH ECLR 250ML,5,1,"2,830",
8351673,ECLAT LIGHT LAIT ECLAIRC 250ML,6,0,"2,815",
8151945,ECLAT LIGHT LOT ANTISEPTIQ F/100ML,3,1,"2,270",
8158120,ECLAT LIGHT SAVON ANTISEPTIQUE PAIN 250G,2,0,"3,000",
8151939,ECLAT LIGTH HUIL ECLAIR 60ML,3,0,"2,830",
72,EDP 1 MILLION 33ML,1,0,"7,500",
67,EDP DIOR HOMME SPORT 33ML,1,0,"7,500",
65,EDP LE BEAU 33ML,1,0,"7,500",
40,EDP NUIT TRESOR 33ML,1,0,"7,500",
7022,EDT INVICTUS 33ML,2,0,"7,500",
43,EDT LA VIE ES BELLE 33ML,1,0,"7,500",
66,EDT LE MAL 33ML,1,0,"7,500",
8163598,EOL LE SAVON PUR ECLAT 200G,4,2,"2,830",
8140083,EOL LUMI LAIT ECLAIR F/250ML,3,1,"4,530",
2293644,FARETI MYCO SAVON 200G,2,0,"1,510",
2293615,FARETI SAVON PURIFIANT 225G,3,0,"1,510",
1563781,GARNIER MASQ TISSU CHARBON P/1,1,0,"1,830",
7731008,GLYCERINE DP PHARMA 125ML,2,0,"1,420",
7731014,GLYCERINE DP PHARMA 60ML           ,1,0,"1,020",
7730925,HUILE D'AMANDE DOUCE 50ML          ,3,0,"1,950",
2475432,HUILE DE RICIN  F/ 65ML,1,0,"1,430",
7731066,HUILE DE RICIN DP PHARMA F/60ML    ,2,0,"1,780",
1308061,HUILE PRECIEUSE AMANDE DOUCE F/50ML,2,0,"1,600",
1308071,HUILE PRECIEUSE ARGAN F/50ML,2,0,"2,640",
1664311,HUILE PRECIEUSE COCO 200ML ,1,0,"2,400",
1539921,HUILE PRECIEUSE KARITE 65ML,2,0,"1,600",
8152028,IVANHOE BLACK EDP F/100ML,1,0,"8,880",
7797088,LA ROCHE P LIPIKAR SAV SURGRAS PAIN/150G,4,0,"5,340",
1205131,LA ROCHE POSAY LIPIKAR AP LAIT CORPS T/200ML,1,0,"12,490",
1455421,LAINO BAUME SOIN LEVRE FRAISE,1,0,"2,310",
1455411,LAINO BAUME SOIN LEVRES FRAMBOISE,1,0,"2,310",
1455441,LAINO BAUME SOIN LEVRES VANILLE,1,0,"2,260",
8151833,LAIT SIVODERM HUIL ARGAN 250ML,3,0,600,
2272228,LILAS MATERNITE B/10,3,0,"1,360",
8171787,LILAS PROTEGE SLIP P/20           ,17,0,880,
1552621,LINGETTE LUNETTE STRATEGIX B/30,3,2,"1,820",
3337875552097,LIPIKAR LAIT RELIP CORPS 200ML,1,0,"11,580",
1205111,LIPIKAR SYNDET AP+400ML,3,0,"10,630",
120000,LIVEN ALK COFFEE ORIGINAL,11,0,"8,000",
1670201,MINOXIDIL CPF 5% 60ML COFF*3,1,0,"20,610",
2474299,MIRACLES CREM ANTI VERG 250GR,1,0,"5,705",
2474298,MIRACLES CREM VIS LIF UV 40GR,3,0,"3,110",
1676031,MIRACLES GEL BAIN 450ML,2,1,"5,705",
2476836,MIRACLES GEL BAIN GOMMANT 450G,5,1,"5,190",
2474301,MIRACLES GEL CORR KORA 100GR,1,3,"3,630",
1833711,MIRACLES HUI VIT COL 10PC 35ML,2,1,"2,600",
1740691,MIRACLES LAIT CLAR AHA UV 350ML,1,1,"4,570",
2474306,MIRACLES LAIT LUM AHA 350ML,8,0,"6,220",
2474310,MIRACLES LOT TRA AHA 1PC 125ML,4,0,"3,000",
2474296,MIRACLES PUR BEU CACAO 250GR,1,0,"3,110",
1740641,MIRACLES SAV CREM CACAO 225GR ,10,3,"1,040",
2475283,MIRACLES SAV KOR CLAR CAR 225GR,3,4,"1,555",
2474294,MIRACLES SAV KOR GOM ABR 250GR,3,4,"2,080",
1740621,MIRACLES SER ECL ANAH VIT 60ML,2,0,"3,110",
2271683,MIXA LAIT CORPS BEAUTE FL/250ML        ,3,0,"3,300",
2271677,MIXA LAIT CORPS FRAICHEUR  F/250ML          ,1,0,"2,140",
8158002,MIXA LAIT CORPS NUTRITION F/250 ML,2,0,"2,500",
2273340,MONT ST MICHEL EDC AMBREE 250ML,8,2,"5,600",
8145399,NARTA DEO F IMPECCABLE 200ML,1,0,"2,880",
8159119,NARTA DEO F PEAU PARFAITE 200ML,2,0,"2,880",
8156233,NARTA DEO PIERRE ALUN MICRO HUILE,1,0,"2,880",
8140781,NARTA DEO RESIXYL FEMME 200ML,1,0,"2,880",
8172344,NARTA HOM DEO PIER ALUN 200ML,3,0,"2,880",
6037819,NEUTRADERM RELIPID+CR DCH200ML,1,0,"4,710",
8488627,NIVEA ANTI RIDE LIGHT Q10 50ML,1,0,"9,200",
6413281,NIVEA CREME BT 150ML               ,5,0,"2,695",
8156121,NIVEA DEO B&W FEM 200ML 82237,1,0,"2,500",
1579451,NIVEA DEO ROLL FRSH ACTIV MEN F/50ML,6,0,"1,950",
1579431,NIVEA DEO ROLL ON BLCK WHT MEN 50ML,3,0,"1,915",
2278900,NIVEA DEO ROLL ON PEARL BEAU FE,1,0,"2,070",
8156109,NIVEA DEO SPRAY DRY FEM 200ML,4,0,"2,850",
2473253,NIVEA DEO SPRAY FRESH ACTIV MEN F/200ML,1,0,"2,855",
8262811,NIVEA DEO SPRAY SIL PROTE H 200ML,2,0,"2,850",
8349759,NIVEA LABELLO LIPBALM HYDRO CA,1,0,"2,650",
8165686,NIVEA LAIT COCOA BUTTER 250ML ,8,0,"2,700",
1579321,NIVEA LAIT COCOA BUTTER 400ML,1,0,"3,800",
8317305,NIVEA LAIT EXPRESS 250ML,2,0,"2,590",
8155995,NIVEA LAIT FAIRNESS 250ML 83805,5,0,"2,655",
2285691,NIVEA LAIT HYDRA RAFF Q10 250ML    ,3,2,"2,760",
1038341,NIVEA LAIT MAX HYD F/250ML,6,0,"2,760",
6686240,NIVEA LAIT NOUR 250ML BLEU,4,0,"2,695",
2262425,NIVEA LAIT NOUR 400ML BLEU,1,0,"3,910",
1233431,NIVEA LAIT Q10 400ML,1,0,"3,745",
4005900313270,NIVEA LIPBALM BLACKBERRY,1,0,"2,650",
1579521,NIVEA LIPBALM WATERMELON ,3,0,"2,710",
6579389,NIVEA LOT TON PN PM 200ML,3,0,"4,720",
1579301,NIVEA LT REPAIR CARE 250ML,1,0,"2,340",
2473255,NIVEA SPRAY DRY MEN 200ML,1,0,"2,035",
7385612,NOBACTER SAV PX SENSIBLE 100G      ,1,1,"4,220",
33111,PRESTIGE CREME VISAGE ,2,0,"7,500",
